Date,ticker,side,quantity,price,fees,fx_rate,total_gbp,notes
15/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
16/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
17/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
18/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
19/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
20/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
21/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
22/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
23/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
24/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
25/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
26/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
27/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
28/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
29/06/2025,CASH,INTEREST   ,0,0,0,0,0.04,
30/06/2025,CASH,INTEREST   ,0,0,0,0,0.05,
01/07/2025,NKE,DIVIDEND   ,2,0.34,0.12,0.72058823,0.49,
01/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
02/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
03/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
04/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
05/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
06/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
07/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
08/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
09/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
10/07/2025,BABA,DIVIDEND   ,8.2453209,1.05,0,0.73461578,6.36,
10/07/2025,BABA,DIVIDEND   ,8.2453209,0.95,0,0.73406864,5.75,
10/07/2025,SLB,DIVIDEND   ,1,0.285,0,0.7368421,0.21,
10/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
11/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
12/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
13/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
14/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
15/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
16/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
17/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
18/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
19/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
20/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
21/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
22/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
23/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
24/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
25/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
26/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
27/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
28/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
29/07/2025,CASH,INTEREST   ,0,0,0,0,0.05,
30/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
31/07/2025,CASH,INTEREST   ,0,0,0,0,0.04,
01/08/2025,CSPX,BUY,0.1956312,673.88,0.15,1.32029998,100,
01/08/2025,NASD,BUY,1.4067971,93.71,0.15,1.32028999,100,
01/08/2025,CASH,INTEREST   ,0,0,0,0,0.05,
02/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
03/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
04/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
05/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
06/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
07/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
08/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
09/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
10/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
11/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
12/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
13/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
14/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
15/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
16/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
17/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
18/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
19/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
20/08/2025,ISPE,BUY,7.77121541,6.434,0,1,50,
20/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
21/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
22/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
23/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
24/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
25/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
26/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
27/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
28/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
29/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
30/08/2025,CASH,INTEREST   ,0,0,0,0,0.02,
31/08/2025,CASH,INTEREST   ,0,0,0,0,0.01,
01/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
02/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
03/09/2025,CASH,INTEREST   ,0,0,0,0,0.02,
04/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
05/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
06/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
07/09/2025,CASH,INTEREST   ,0,0,0,0,0.02,
08/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
09/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
10/09/2025,IGUS,BUY,0.33480648,14934,0,100,50,
10/09/2025,CASH,INTEREST   ,0,0,0,0,0.02,
12/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
13/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
15/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
16/09/2025,PYPL,BUY,1,66.94,0.07,1.36528655,49.1,
16/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
20/09/2025,CASH,INTEREST   ,0,0,0,0,0.01,
23/09/2025,BABA,SELL,1.18452541,164.68,0.22,1.35256999,144,
23/09/2025,CSPX,SELL,1,715.03,0.79,1.35135697,528.33,
23/09/2025,CSPX,SELL,1,715.02,0.79,1.35136361,528.32,
23/09/2025,CSPX,SELL,1.1407398,715.04,0.91,1.35134954,602.69,
23/09/2025,CSPX,SELL,8,715.04,6.35,1.3513599,4226.66,
23/09/2025,IGUS,BUY,19.33102502,15307,0,100,2959,
23/09/2025,ISPE,SELL,7.77121541,6.517,0,1,50.65,
23/09/2025,NASD,SELL,2,100.42,0.22,1.35136589,148.4,
23/09/2025,NASD,SELL,2.1672241,100.4,0.24,1.35140239,160.77,
23/09/2025,NASD,SELL,10,100.4,1.11,1.35138772,741.83,
23/09/2025,R2SC,BUY,15.02739467,52.93,0,1,795.4,
23/09/2025,R2SC,BUY,55.39476389,52.94,0,1,2932.6,
24/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
25/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
26/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
27/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
28/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
29/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
30/09/2025,CASH,INTEREST   ,0,0,0,0,0.05,
